Title,Author,Price
স্মার্ট প্যারেন্টিং,শামীম আল-আমিন,"TK. 120
TK. 90"
প্যারেন্টিং,জাবেদ মুহাম্মাদ,"TK. 300
TK. 210"
সন্তান গড়ার সোনালি পাথেয়,উসতাজ হাসসান শামসি পাশা,"TK. 307
TK. 230"
প্যারেন্টিং,জুলফিকার হায়দার,"TK. 450
TK. 338"
শেষ,জুনায়েদ ইভান,"TK. 350
TK. 249"
যুক্তিফাঁদে ফড়িং,চমক হাসান,"TK. 240
TK. 206"
প্যারাডক্সিক্যাল সাজিদ ২,আরিফ আজাদ,"TK. 336
TK. 252"
রামাদ্বান প্ল্যানার,শায়খ আহমাদুল্লাহ,TK. 70
জবাব,আরিফ আজাদ,"TK. 275
TK. 206"
অনুভূতির অভিধান,তাহসান খান,"TK. 270
TK. 232"
এক টুকরো সুখ,বন্যা হোসেন,"TK. 280
TK. 210"
ভাঁটফুলের সৌরভ,ফাহমিদা বারী,"TK. 200
TK. 150"
সাদা পাঞ্জাবির একজন,কাজী তাসমীন আরা আজমিরী,"TK. 220
TK. 165"
চুরমার হিউমার,সালমা সিদ্দিকা,"TK. 220
TK. 165"
প্রতিদিনের পাথরগুলো,কাসাফাদ্দৌজা নোমান,"TK. 240
TK. 180"
স্বপ্নের ঠিকানা,মাশফিকুল হাসান,"TK. 160
TK. 120"
Basic Way of Learning C,মাহিন মুস্তাফিজ সামি,"TK. 350
TK. 263"
কৃত্রিম বুদ্ধিমত্তায় মানবিক রাষ্ট্র,রকিবুল হাসান,"TK. 600
TK. 450"
হ্যাকিংয়ের গোলকধাঁধা,দিলোয়ার আলম,"TK. 300
TK. 225"
সহজ বাংলায় R প্রোগ্রামিং,ড. মুনশী নাসের ইবনে আফজাল,"TK. 150
TK. 113"
শিক্ষার্থীদের মেধাবিকাশে তথ্য প্রযুক্তি ও ডিজিটাল বাংলাদেশ,প্রকৌশলী রেজাউল করিম,"TK. 280
TK. 210"
প্রোগ্রামিং এসেনশিয়ালস,মাকসুদুর রহমান মাটিন,"TK. 250
TK. 188"
হ্যান্ডরাইটিং ব্যাগ,কিডস হ্যাভেন,"TK. 950
TK. 634"
তোতো,দীপু মাহমুদ,"TK. 120
TK. 90"
রহস্যবাড়ি,ইসমাইল আরমান,"TK. 88
TK. 66"
অদ্ভুতুড়ে বইঘর,শরীফুল হাসান,"TK. 300
TK. 225"
তিন গোয়েন্দা ভলিউম-১৫৬,শামসুদ্দীন নওয়াব,"TK. 120
TK. 90"
ছোটদের খুলাফায়ে রাশিদা,জাকারিয়া মাসুদ,"TK. 1,000
TK. 700"
বিজ্ঞানের কল্পগল্প ও সায়েন্স ফিকশন,সৌমেন সাহা,"TK. 250
TK. 188"
ভিন্ন সময়ের পৃথিবী,মোঃ সিরাজুল ইসলাম এফসিএ,"TK. 300
TK. 225"
নাবিলের টাইমমেশিন,হারুন ইবনে শাহাদাত,"TK. 120
TK. 90"
দি এন্ড অভ ইটারনিটি,আইজ্যাক আসিমভ,"TK. 350
TK. 274"
জীবন্ত গ্রহের সন্ধানে (সায়েন্স ফিকশন),মোঃ মাজহারুল আলম,"TK. 249
TK. 187"
সমান্তরাল পৃথিবী,সুফিয়া হায়দার,"TK. 80
TK. 60"
মাসুদ রানা টাইম বম ও কালো কুয়াশা,কাজী আনোয়ার হোসেন,"TK. 246
TK. 185"
"হার্ড টাইমস্, ক্যাপ্টেন গ্র্যাণ্ট’স চিলড্রেন, হেইডি",চার্লস ডিকেন্স,"TK. 99
TK. 74"
থ্রি : ফরটিসিক্স এ এম,নিক পিরোগ,"TK. 160
TK. 125"
অন্ধ জাদুকর : প্রলয় হুঙ্কার,শরীফুল হাসান,"TK. 340
TK. 255"
রবীন্দ্রনাথ এখানে কখনও খেতে আসেননি,মোহাম্মদ নাজিম উদ্দিন,"TK. 400
TK. 314"
রবীন্দ্রনাথ এখানে কখনও আসেননি - ২,মোহাম্মদ নাজিম উদ্দিন,"TK. 520
TK. 408"
ফাইন্যান্স ফর নন-ফাইন্যান্স ম্যানেজার,ক্যাথেরিন ওয়াগনার,"TK. 180
TK. 135"
ইউ ক্যান সেল,শিব খেরা,"TK. 400
TK. 300"
সাপ্লাই চেইন ম্যানেজমেন্ট,তাজবীর সজীব,"TK. 420
TK. 315"
লিডারশিপ,ব্রায়ান ট্রেসি,"TK. 200
TK. 150"
ভবিষ্যৎ পৃথিবীর স্বপ্নদ্রষ্টা এক বিস্ময়মানব ইলন মাস্ক,নেসার আমিন,"TK. 280
TK. 210"
মার্কেটিং,ব্রায়ান ট্রেসি,"TK. 200
TK. 150"
ব্রেইন গেইম!,সাজিয়া জাহান সিনহা,"TK. 400
TK. 300"
ম্যানেজমেন্ট,ব্রায়ান ট্রেসি,"TK. 200
TK. 150"
করপোরেট কমিউনিকেশন,রোকসানা আক্তার রুপী,"TK. 300
TK. 225"
Think Like CEOs,মো. তাজদীন হাসান,"TK. 100
TK. 75"
টাইম ম্যানেজমেন্ট,আবু মুআবিয়া ইসমাইল কামদার,"TK. 218
TK. 164"
দ্য পাওয়ার অব পজিটিভ থিংকিং,ড. নরম্যান ভিনসেন্ট পিল,"TK. 450
TK. 338"
সুকুমার সমগ্র,সুকুমার রায়,"TK. 650
TK. 539"
কীভাবে কথা বলবেন যে কারো সঙ্গে যে কোনো জায়গায় যে কোনো সময়,পুলক হাসান,"TK. 200
TK. 157"
গুড টু গ্রেট,জিম কলিন্স,"TK. 550
TK. 431"
ভাঙো দুর্দশার চক্র,আবদুল্লাহ আবু সায়ীদ,"TK. 200
TK. 179"
নেভার লেট মি গো,কাজুও ইশিগুরো,"TK. 475
TK. 372"
দি স্টোরি অভ দ্য তাজমহল,সাদেকুল আহসান কল্লোল,"TK. 400
TK. 344"
মুজিবোস্কোপ,শিশির ভট্টাচার্য্য,"TK. 700
TK. 525"
১৯৭১ সালে পাকিস্তানের কারাগারে বঙ্গবন্ধু,ড. মোহাম্মদ জহুরুল ইসলাম,"TK. 400
TK. 300"
বঙ্গবন্ধুর নির্বাচিত ১০০ উক্তি,রহমতউল্লাহ লতিফ,"TK. 300
TK. 225"
আমার বঙ্গবন্ধু,নাজমুল হুদা,"TK. 1,200
TK. 900"
বঙ্গবন্ধু কেন দ্বিতীয় বিপ্লবের ডাক দিয়েছিলেন,মিনার মনসুর,"TK. 300
TK. 225"
প্রাথমিক শিক্ষায় বঙ্গবন্ধুর স্বপ্নদর্শন,মো. মুজাহিদুল ইসলাম,"TK. 400
TK. 300"
অর্থনীতি - ১ম পত্র (একাদশ-দ্বাদশ শ্রেণি),মোঃ সোহ্‌রাওয়ার্দী,TK. 250
রসায়ন - ১ম পত্র (একাদশ-দ্বাদশ শ্রেণি),ড. সরোজ কান্তি সিংহ হাজারী,TK. 360
ব্যবসায় সংগঠন ও ব্যবস্থাপনা প্রথম পত্র (একাদশ-দ্বাদশ শ্রেণি),মোহাম্মদ খালেকুজ্জামান,TK. 267
Collegiate Basic English Grammar,এস. এম. মোস্তাক আহমেদ,"TK. 450
TK. 351"
যুক্তিবিদ্যা-প্রথম পত্র (একাদশ-দ্বাদশ শ্রেণি),বিষ্ণুগদ সরকার,TK. 220
Practical English Grammar,তাহমিদ হাসান,"TK. 295
TK. 221"
গুড প‍্যারেন্টিং,ইকবাল কবীর মোহন,"TK. 250
TK. 188"
অববাহিকা,অনিন্দিতা গোস্বামী,TK. 540
আজ টোকনের জন্মদিন,মাহমুদা শারমীন বেনু,"TK. 300
TK. 258"
ছড়ায় ছড়ায় স্বরবর্ণ,তানভীর হাসান বিপ্লব,"TK. 200
TK. 157"
এলিয়েন ডাক্তার,আলী আসকর,"TK. 180
TK. 141"
সাম্রাজ্যবাদী রাজনীতির সদরে-অন্দরে (দ্য সিক্রেটস অফ ইমপেরিয়েলিজম),এসএম নজরুল ইসলাম,"TK. 300
TK. 210"
Breaking Dawn,স্টেফানি মেয়ার,"TK. 1,438
TK. 750"
The Casual Vacancy,জে. কে. রাওলিং,"TK. 1,438
TK. 750"
Carnival For The Dead,ডেভিড হিউসন,"TK. 1,438
TK. 750"
Leaving Time,জদি পিকুল্ট,"TK. 1,438
TK. 750"
The Women In His Life,বারবারা টেউলর ব্রাডফড,"TK. 1,438
TK. 750"
Make Me,লী চাইল্ড,"TK. 1,438
TK. 750"
Deli Calculator Mini  Plastic - 12 digits - E39219,ডেলি,TK. 270
Deli Scientific Calculator - ED82ES,ডেলি,TK. 915
Casio Scientific Calculator (fx-82 EX) (3 Years Warranty),CASIO,"TK. 1,300
TK. 1,130"
Deli Calculator (any colour) - E1671C,ডেলি,TK. 770
Deli Calculator EM19810,ডেলি,TK. 430
Casio Scientific Calculator (fx-100MS-2) 2nd edition (3 Years Warranty),CASIO,"TK. 1,460
TK. 1,240"
গুফি বর্ণ গল্প - ২ (মূল্যবোধ ও নৈতিকতা),ওয়ালিউল্লাহ ভূঁইয়া,"TK. 670
TK. 576"
Goofi Design Book Set,নাদিয়া শারমিন,"TK. 500
TK. 430"
গুফি বর্ণ গল্প - ৩ (প্রবলেম সলভিং স্কিল),ওয়ালিউল্লাহ ভূঁইয়া,"TK. 800
TK. 600"
তানজানিয়ার দ্বীপে,রাফিয়াত রশিদ মিথিলা,"TK. 270
TK. 203"
Singapore Math 1A,Goofi,"TK. 450
TK. 338"
Goofi- Shape Artist,ওয়ালিউল্লাহ ভূঁইয়া,"TK. 250
TK. 215"
মার্কেটিং স্টার্টআপ কালেকশন (মুনির হাসানের উদ্যোগ ও উদ্যোক্তা বিষয়ক ৪টি বই),মুনির হাসান,"TK. 967
TK. 832"
বইবাজার  প্রকাশনীর আত্ম উন্নয়ন মূলক ৩ টি বই,নেপোলিয়ন হিল,"TK. 570
TK. 412"
জি এম কামরুল হাসানের জীবন পাল্টে দেয়া ২টি বই,শিব খেরা,"TK. 725
TK. 508"
মোহাম্মদ নাজিম উদ্দিন এর রবীন্দ্রনাথ থ্রিলার সিরিজ,মোহাম্মদ নাজিম উদ্দিন,"TK. 920
TK. 688"
১৪৫০ টাকায় কমপ্লিট ওয়েব ডিজাইন এন্ড ডেভেলপমেন্ট কোর্স,মো: মাহবুবুল হাসান,"TK. 1,790
TK. 1,253"
প্রিয়মুখ এর আউটসোর্সিং ৩টি বইয়ের রকমারি কালেকশন,রবার্ট টি. কিয়োসাকি,"TK. 920
TK. 661"
গুচ্ছ এনালাইসিস  - বিজ্ঞান বিভাগ,নেক্সাস পাবলিকেশন লিমিটেড,"TK. 350
TK. 300"
"নেক্সাস নটরডেম, হলিক্রস ও সেন্ট যো্সেফ কলেজ ভর্তি গাইড ও প্রশ্নব্যাংক (বাণিজ্য বিভাগ)",নেক্সাস পাবলিকেশন লিমিটেড,"TK. 300
TK. 216"
ব্যবসায় শিক্ষা বিভাগের শিক্ষার্থীদের জন্য নেক্সাস পাবলিকেশন্স থেকে প্রকাশিত অপ্রতিদ্বন্দ্বী ৫াট বইয়ের রকমারি কালেকশন,নেক্সাস পাবলিকেশন লিমিটেড,"TK. 1,960
TK. 1,435"
NEXUS BUP FBS প্রশ্নব্যাংক ও ভর্তি সহায়িকা (বাণিজ্য ও বিভাগ পরিবর্তন) - NEXUS BUP FBS,নেক্সাস পাবলিকেশন লিমিটেড,"TK. 200
TK. 180"
Nexus English Suggestion,নেক্সাস পাবলিকেশন লিমিটেড,"TK. 200
TK. 120"
নেক্সাস প্রশ্নব্যাংক: ঢাকা ও জগন্নাথ বিশ্ববিদ্যালয় মানবিক বিভাগ (খ-ইউনিট),নেক্সাস পাবলিকেশন লিমিটেড,"TK. 200
TK. 180"
